"","fips_code","collection_week","previous_day_admission_adult_covid_confirmed_7_day_sum","previous_day_admission_pediatric_covid_confirmed_7_day_sum","previous_day_covid_ED_visits_7_day_sum","previous_day_admission_adult_covid_suspected_7_day_sum","previous_day_admission_pediatric_covid_suspected_7_day_sum"
"249",5143,"2020-12-04",54,0,249,0,0
"250",5145,"2020-11-20",10,0,0,0,0
"251",5149,"2020-11-20",0,0,0,0,0
"252",5149,"2020-11-27",0,0,14,5,0
"253",5149,"2020-12-04",0,0,0,0,0
"254",6001,"2020-11-20",117,0,1446,123,0
"255",6001,"2020-11-27",171,0,1702,225,0
"256",6001,"2020-12-04",282,0,2329,245,4
"257",6007,"2020-11-20",27,0,41,0,0
"258",6007,"2020-11-27",26,0,23,0,0
"259",6007,"2020-12-04",56,0,102,0,0
"260",6009,"2020-11-27",5,0,79,0,0
"261",6013,"2020-11-20",86,0,1027,50,0
"262",6013,"2020-11-27",58,0,657,31,0
"263",6013,"2020-12-04",83,0,1087,40,0
"264",6015,"2020-11-27",0,0,62,10,0
"265",6017,"2020-11-27",13,0,65,0,0
"266",6017,"2020-12-04",11,0,87,0,0
"267",6019,"2020-11-20",91,8,337,28,32
"268",6019,"2020-11-27",52,5,342,19,14
"269",6019,"2020-12-04",88,0,154,19,0
"270",6021,"2020-12-04",8,0,14,8,0
"271",6023,"2020-11-20",0,0,64,10,0
"272",6023,"2020-11-27",0,0,118,22,0
"273",6023,"2020-12-04",4,0,341,5,0
"274",6025,"2020-11-20",32,0,618,0,0
"275",6025,"2020-11-27",48,0,772,0,0
"276",6025,"2020-12-04",51,0,717,0,0
"277",6029,"2020-11-20",58,0,296,59,0
"278",6029,"2020-11-27",60,0,282,42,0
"279",6029,"2020-12-04",55,0,352,38,0
"280",6031,"2020-11-27",27,0,217,22,0
"281",6031,"2020-12-04",32,0,244,34,0
"282",6033,"2020-11-20",0,0,48,4,0
"283",6033,"2020-12-04",0,0,38,4,0
"284",6037,"2020-11-20",1103,0,5395,902,0
"285",6037,"2020-11-27",1453,8,6677,869,8
"286",6037,"2020-12-04",2055,0,8503,923,0
"287",6039,"2020-11-20",6,0,0,41,0
"288",6039,"2020-12-04",8,0,24,41,0
"289",6041,"2020-11-20",0,0,0,0,0
"290",6041,"2020-11-27",12,0,91,9,0
"291",6041,"2020-12-04",25,0,181,14,0
"292",6043,"2020-11-20",0,0,27,0,0
"293",6045,"2020-11-20",6,0,82,11,0
"294",6045,"2020-11-27",0,0,15,0,0
"295",6045,"2020-12-04",6,0,71,13,0
"296",6047,"2020-11-20",26,0,358,10,0
"297",6047,"2020-11-27",34,0,238,0,0
"298",6047,"2020-12-04",38,0,219,0,0
"299",6049,"2020-11-20",0,0,0,0,0
"300",6051,"2020-11-20",4,0,37,0,0
"301",6051,"2020-11-27",4,0,45,0,0
"302",6053,"2020-11-20",78,0,1511,4,0
"303",6053,"2020-11-27",25,0,191,0,0
"304",6055,"2020-11-20",5,0,113,0,0
"305",6055,"2020-11-27",0,0,0,0,0
"306",6057,"2020-11-20",5,0,113,4,0
"307",6057,"2020-12-04",8,0,25,9,0
"308",6059,"2020-11-20",317,10,2359,174,21
"309",6059,"2020-11-27",650,5,3652,226,0
"310",6059,"2020-12-04",416,12,2318,153,34
"311",6061,"2020-11-20",10,0,195,9,0
"312",6061,"2020-11-27",47,0,1002,55,0
"313",6061,"2020-12-04",12,0,217,11,0
"314",6063,"2020-11-20",0,0,8,0,0
"315",6063,"2020-12-04",0,0,8,0,0
"316",6065,"2020-11-20",206,0,1985,129,0
"317",6065,"2020-11-27",315,0,2383,93,0
"318",6065,"2020-12-04",508,0,3250,124,0
"319",6067,"2020-11-20",60,0,439,38,0
"320",6067,"2020-11-27",125,0,521,41,0
"321",6067,"2020-12-04",245,5,715,80,0
"322",6069,"2020-11-20",5,0,169,0,0
"323",6069,"2020-11-27",9,0,180,0,0
"324",6069,"2020-12-04",11,0,220,0,0
"325",6071,"2020-11-20",513,0,3221,221,0
"326",6071,"2020-11-27",411,0,2978,124,0
"327",6071,"2020-12-04",611,0,3741,140,0
"328",6073,"2020-11-20",507,7,4534,184,4
"329",6073,"2020-11-27",601,9,5862,178,0
"330",6073,"2020-12-04",656,12,5925,130,0
"331",6075,"2020-11-20",0,0,0,0,0
"332",6075,"2020-11-27",22,0,142,10,0
"333",6075,"2020-12-04",29,0,462,49,0
"334",6077,"2020-11-20",166,0,1054,85,0
"335",6077,"2020-11-27",199,0,866,60,0
"336",6077,"2020-12-04",195,0,793,83,0
"337",6079,"2020-11-20",7,0,135,5,0
"338",6079,"2020-11-27",4,0,195,7,0
"339",6079,"2020-12-04",4,0,168,8,0
"340",6081,"2020-11-20",43,0,366,16,0
"341",6081,"2020-11-27",49,0,640,20,0
"342",6081,"2020-12-04",78,0,926,30,0
"343",6083,"2020-11-20",11,0,150,5,0
"344",6083,"2020-11-27",22,0,194,5,0
"345",6083,"2020-12-04",66,0,453,12,0
"346",6085,"2020-11-20",85,0,649,278,0
"347",6085,"2020-11-27",105,0,528,14,0
"348",6085,"2020-12-04",112,0,461,21,0
"349",6087,"2020-11-27",37,0,332,7,0
"350",6087,"2020-12-04",28,0,289,0,0
"351",6089,"2020-11-20",107,0,201,0,0
"352",6089,"2020-11-27",77,0,41,0,0
"353",6089,"2020-12-04",70,0,72,0,0
"354",6093,"2020-11-20",15,0,0,0,0
"355",6093,"2020-11-27",13,0,22,0,0
"356",6093,"2020-12-04",6,0,0,0,0
"357",6095,"2020-11-20",51,0,239,32,0
"358",6095,"2020-11-27",33,0,209,26,0
"359",6095,"2020-12-04",96,0,401,30,0
"360",6097,"2020-11-20",15,0,29,7,0
"361",6097,"2020-11-27",22,0,286,56,0
"362",6097,"2020-12-04",12,0,302,0,0
"363",6099,"2020-11-20",73,0,1263,75,5
"364",6099,"2020-11-27",84,0,1249,50,4
"365",6099,"2020-12-04",86,0,878,15,0
"366",6101,"2020-11-20",0,0,0,0,0
"367",6101,"2020-11-27",0,0,0,0,0
"368",6101,"2020-12-04",0,0,0,0,0
"369",6103,"2020-12-04",11,0,129,0,0
"370",6105,"2020-11-20",0,0,4,0,0
"371",6107,"2020-11-20",65,0,252,0,0
"372",6107,"2020-11-27",255,0,486,44,4
"373",6107,"2020-12-04",0,0,0,0,0
"374",6109,"2020-12-04",8,0,132,43,0
"375",6111,"2020-11-20",42,0,390,47,0
"376",6111,"2020-11-27",71,0,601,79,0
"377",6111,"2020-12-04",59,0,345,14,0
"378",6113,"2020-11-20",10,0,403,7,0
"379",6113,"2020-11-27",6,0,314,11,0
"380",6115,"2020-11-20",30,0,275,58,0
"381",6115,"2020-11-27",23,0,192,31,0
"382",6115,"2020-12-04",35,0,293,44,4
"383",8001,"2020-11-20",81,5,85,59,4
"384",8003,"2020-12-04",5,0,14,0,0
"385",8005,"2020-11-20",134,0,504,20,0
"386",8005,"2020-11-27",151,0,478,30,0
